0;13.5628941950619;_a4_;{'d0': {'_a4_': 0.4899762030460544, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 4.816684445098421};27.1257883901237;0.0
1;-17.9606101212154;y;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
2;-17.9606101212154;y;{'d0': {'_a4_': 1.0, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.8031613243566489};-35.9212202424308;0.0
3;-24.2115094417056;((x ** _a2_) ** _a0_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-75.0772122678111;13.3270966922
4;-24.2115094417056;((x ** _a2_) ** _a0_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-75.0772122678111;13.3270966922
5;-24.2115094417056;((x ** _a2_) ** _a0_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-75.0772122678111;13.3270966922
6;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
7;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
8;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
9;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
10;-32.9222300689166;(x ** _a2_);{'d0': {'_a2_': 0.6655470593298176, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.819110238021131};-79.1715568300332;6.6635483461
