0;-24.4729364497409;x;{'d0': {'_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 1.4513060446144521};-48.9458728994819;0.0
1;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
2;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
3;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
4;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
5;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
6;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
7;-39.8667437686608;(x * _a7_);{'d0': {'_a7_': 1.262903703951793, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0}};{'d0': 0.6930560629825175};-89.1980236703035;4.732268066491001
8;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
9;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
10;-32.4859797379746;(_a4_ + x);{'d0': {'_a4_': 0.09994650566206464, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 0.8519478049474809};-76.8131615740091;5.92060104903
