0;7.29904799348758;-(_a3_);{'d0': {'_a3_': 0.5879497563067726, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.457777488035447};7.23820166645439;3.6799471602603897
1;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
2;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
3;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
4;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
5;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
6;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
7;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
8;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
9;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
10;3.61910083322719;_a3_;{'d0': {'_a3_': -0.5879497563102363, '_a0_': 1.0, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0, '_a5_': 1.0, '_a6_': 1.0, '_a7_': 1.0}};{'d0': 3.4577774880354464};7.23820166645439;0.0
