,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,1,0.003215767405741034,0.7586313169267507,1.3553972758965454e-16,7.190015778524823e-16,0.004629871383029102,1.0681469087744662,2.103030580643861e-16,1.1301342266995672e-15,1,0
1,0.0,1,0.0036949356569542175,0.8917879826797181,1.4058892938706435e-16,6.344131569286609e-16,0.004722491212042117,1.2329142265348725,2.134518424953621e-16,1.0163818858034712e-15,1,1
2,0.0,1,0.0023807095902499804,0.7708581395368577,1.231653667943533e-16,9.093255249310805e-16,0.0030889518811659713,1.074555632231281,2.0598310402958047e-16,1.1280548611355359e-15,1,2
3,0.02,1,0.010623733426577627,0.6996258367872614,0.003238399861384975,0.2129293640650821,0.013321068814570106,0.9629565936893509,0.006415862887774679,0.27155482078091775,1,0
4,0.02,1,0.004199200367832625,0.6242454754426243,0.0017491982290366351,0.016569114863906664,0.005136503464121263,0.8964995663016545,0.0023929212167509762,0.0179749689394389,1,1
5,0.02,1,0.011283803939940629,0.8120010609438156,0.0012724281827458915,0.004338027752276789,0.013858961576281043,1.0935140862905317,0.0018205089446642517,0.004658337446649268,1,2
6,0.04,1,0.008985487262769175,0.8611817488337985,0.006666687458041146,0.07260757103773303,0.011866867427216548,1.1759203066966528,0.008424081670330928,0.08135472817711407,1,0
7,0.04,1,0.027276267483117213,1.5405544927645616,0.0028403801614052286,0.011841194536963058,0.03893246167686792,1.903885675761274,0.003331468235834422,0.012103641636535965,1,1
8,0.04,1,0.007844911336571397,0.9101130863116618,0.008244369676914278,0.05192183407642458,0.011329219138066612,1.2436493297552416,0.01011760747428338,0.05831985608875906,1,2
9,0.06,1,0.01035802297712762,0.5238180970370369,0.009222910877679876,0.03982586811841136,0.014170629669565721,0.7942469705411737,0.011152252650160515,0.04998689893090698,1,0
10,0.06,1,0.014243694923334571,0.8300226650066892,0.01272667844965564,0.013256368133698824,0.01948044031747867,1.1556409974869362,0.017149041859572296,0.01606432806080648,1,1
11,0.06,1,0.023267147198895968,0.9422401282524284,0.019304993031757582,0.02872090947503513,0.025724987393731084,1.2553141504537715,0.02080122896443002,0.036582372551834046,1,2
12,0.08,1,0.02120885234391486,0.8734979309100823,0.016280136367575557,0.11211805536220194,0.02252587192047607,1.2082349181988048,0.02022929000453826,0.1321374664949343,1,0
13,0.08,1,0.00943868080770757,1.0666455626832476,0.025802263111171522,0.34727183246403126,0.014513494562797333,1.407629406983997,0.030710126121182207,0.5130407720593007,1,1
14,0.08,1,0.03683297378518334,0.6898528731121278,0.02100567238182177,0.9302063921069887,0.04282413875910593,0.9652815024086502,0.029586952952263924,1.245637665482927,1,2
15,0.1,1,0.030388990711941285,1.5341038418817992,0.018909078648282604,0.3017153356550388,0.051291000980528974,1.8602690897837386,0.02876438995191308,0.3325993079038465,1,0
16,0.1,1,0.014922753961857061,0.6191570417184163,0.019127425238183893,0.098091545936979,0.020991054622899134,0.9385296644695841,0.02636275592263513,0.10513016717737698,1,1
17,0.1,1,0.043324157613703264,1.5218428971489917,0.013181671951554475,0.11164257393009347,0.05955269761078724,1.8754274354014981,0.016397550991129016,0.12704965513121733,1,2
18,0.12,1,0.030418799040120684,1.140387280449953,0.011343833208920382,0.11642066361928045,0.039794078644283935,1.4745991708218908,0.014400971725272136,0.12876778720442042,1,0
19,0.12,1,0.037570175476630364,0.949837225637434,0.02829140336346766,0.09668872971827022,0.04315866619382195,1.3187324933283782,0.03279687887303778,0.09753895886518023,1,1
20,0.12,1,0.04006406161874653,1.4475764184125692,0.019253475870624964,0.16106557188098444,0.0459805836633194,1.8524255162285912,0.028745784714744316,0.17723178147590976,1,2
21,0.14,1,0.06558599791755215,1.617494318636692,0.027273709737028015,0.3542437946385679,0.0817777963089545,1.9231619282736374,0.03285388872803737,0.5223185052041373,1,0
22,0.14,1,0.04068294408749746,1.4031573492655303,0.07236679467661486,2.291987800310506,0.05085913324884587,1.7607898958499542,0.08642270981287083,2.815020060506597,1,1
23,0.14,1,0.06948593571084043,1.9652367417858674,0.043683829069849724,0.2229210569162875,0.10132397123989494,2.300907981941531,0.06687418818097078,0.23465390124162583,1,2
24,0.16,1,0.051397300591045074,0.8623277579079681,0.02422880158127068,0.344606001307086,0.06043986712647935,1.1650458233612004,0.03705770221385122,0.3805577755770547,1,0
25,0.16,1,0.052689971520691985,0.8399669259838083,0.05492435439951027,0.8891011787261182,0.06239692426142339,1.1291493650199487,0.07472063993686504,1.090555210162929,1,1
26,0.16,1,0.03525634930186919,1.0767839504188206,0.07481507823146273,0.2616338104692704,0.043951074244896776,1.4804654102439523,0.08506469811529448,0.279069491661525,1,2
27,0.18,1,0.04020054041343676,1.054738495462908,0.06371359892798845,0.8421900732001257,0.05384075253022982,1.4277148849206458,0.08060912864518495,1.0392259003258304,1,0
28,0.18,1,0.04577139919227557,1.0318473364419503,0.044337923684710526,0.5471195779039068,0.055711161110565476,1.3397104515825093,0.058227715709610134,0.6123308059270349,1,1
29,0.18,1,0.042211334777873685,0.6416727254513699,0.04302554080070249,0.34391065496573986,0.05127148234379084,0.9325821613540084,0.06086046597542681,0.355792001834821,1,2
30,0.2,1,0.025886210822841395,0.9968210131856488,0.023754581473793238,0.09157919966377122,0.033847142712200906,1.353752812990818,0.029704943544734703,0.1124451195640676,1,0
31,0.2,1,0.04850264337070451,1.9232244079070828,0.09753996397180048,1.455794944720863,0.0674266428887339,2.3234143233693443,0.12469899901843748,1.7524190152420063,1,1
32,0.2,1,0.06452593347379304,1.4205194478177625,0.0696611827184009,2.010898267885188,0.09203596028572684,1.7217592573100156,0.0819733975247065,2.5233663960212094,1,2
33,0.0,5,0.00498571143421342,0.029815214896325406,1.5248043346479297e-09,1.99672116671511e-09,0.006191359400708022,0.03223843374853685,1.757352097252733e-09,2.2561200185734356e-09,5,0
34,0.0,5,0.00519265076945383,0.026146658826757534,8.572526716266182e-10,1.2476820529120199e-09,0.006398612289744284,0.02858241476454817,1.0410496372104824e-09,1.4540641284806847e-09,5,1
35,0.0,5,0.005070345949114821,0.020101292143690542,5.045014785561482e-10,1.0123218004605878e-09,0.006307339357686751,0.021789469892168633,8.050744716926471e-10,1.255322854691027e-09,5,2
36,0.02,5,0.011952610593447861,0.1454784936488812,0.0030286030252152122,0.0032001778870460766,0.014618437229920045,0.1545968171253547,0.004476746561085792,0.004892692732285414,5,0
