,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
0,0.0,1,0.005506354346742322,0.8076746772957963,1.2337497921436717e-16,6.661338147750939e-16,0.006952240253566086,1.0807788691173918,1.968682191727399e-16,8.514391131271971e-16,0
1,0.0,1,0.0029404343655724404,0.7368826028364505,1.183225970905847e-16,4.797259982948207e-16,0.004160574337345678,1.0237290520084574,2.0845922586582832e-16,7.4055976263919785e-16,1
2,0.0,1,0.005565114744608556,0.913865554790859,1.411848069010624e-16,8.662480883495049e-16,0.0071713930057138164,1.204467240584037,2.3807115292023343e-16,1.1143273751277045e-15,2
3,0.02,1,0.0129933926972662,0.8827752098079542,0.0031853982429524263,0.22900299998295354,0.016672964450194814,1.1562999117752066,0.00639184119145978,0.28653063429006514,0
4,0.02,1,0.0037435039037650693,0.7429739507079218,0.001767014518326035,0.017312468028052367,0.0048609125838661995,1.0319015668586937,0.0024329788696113644,0.01862737439319892,1
5,0.02,1,0.009169709501103228,0.9612234483986032,0.0012485892606786697,0.004522448583167014,0.011766681850121561,1.2793153712250698,0.0017549124507969137,0.0048187742621220815,2
6,0.04,1,0.008933261907676186,1.0491027026622666,0.007023229220018431,0.0764491403165469,0.011804327312267063,1.3779363259452693,0.008832131085185786,0.08467155597785946,0
7,0.04,1,0.026523190356484146,1.224688204517004,0.002969285733810671,0.012137831618395302,0.03390810647303273,1.5151150100335127,0.0034531622202191854,0.012368744432535708,1
8,0.04,1,0.0068524073086365335,0.5702784119830099,0.008481095141031075,0.05470357361537141,0.00955084174423804,0.8546288407610876,0.010312373047981122,0.06071187022641025,2
9,0.06,1,0.011560391207061177,0.800841427176461,0.009213555577917077,0.042871847634912,0.015338676296651569,1.0836139611398026,0.011100187387101636,0.05247901382929133,0
10,0.06,1,0.013568921859668603,0.7580147492287505,0.012195471873529156,0.013492283328556282,0.017267110635354087,1.0641582488341486,0.015845549009780472,0.01666612433468747,1
11,0.06,1,0.02305456799707372,0.9431271306183734,0.019243898585673477,0.030593614130882196,0.025598064354967667,1.2285497473164406,0.020694327269551237,0.038339410816693176,2
12,0.08,1,0.02018081642364088,0.9706206626412605,0.016653904614848038,0.11928790624540106,0.02149685532555496,1.3239267545285813,0.020506134336596843,0.13818589725294378,0
13,0.08,1,0.009083899643424442,1.1051231774235564,0.026449300067692028,0.3775359367338721,0.016504167047440434,1.4081945630228094,0.031237562192658025,0.5475137819827413,1
14,0.08,1,0.03633044412578684,0.6934721119935512,0.02181596206429478,1.0076128494156245,0.043195294496531714,0.9726574895568246,0.030433823100530645,1.3195163328547952,2
15,0.1,1,0.01752766113807194,1.3122881225066505,0.01976380265390302,0.3166293490250231,0.03541734406450359,1.6209879880069984,0.030688604271086384,0.34543274521771805,0
16,0.1,1,0.013113051489773342,1.0458965663456334,0.018942389445528982,0.10219570703011333,0.02061479620953689,1.3895998558980491,0.025769339698457235,0.10871812554252827,1
17,0.1,1,0.02922997597387128,1.2711854237272182,0.013874964759504265,0.11794658800003571,0.03930487561258721,1.5806821859474727,0.017000859326508078,0.1324506063677673,2
18,0.12,1,0.037758964734868616,1.5882222002859394,0.011973985825346947,0.12222566377363929,0.04925718571521027,1.9229366873085656,0.015134694733622427,0.13380386224370244,0
19,0.12,1,0.0406383524960964,1.1286213471903552,0.029152815392873614,0.09834898739490354,0.04588649632234698,1.4702293790705885,0.0337274848848968,0.09902927565661078,1
20,0.12,1,0.03506728278598813,1.0835448524019804,0.018865595696055712,0.16886500828288117,0.041417799755672426,1.3986770259832106,0.027773534151637237,0.1840495563457597,2
