,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
0,0.0,tanh,0.009377365445375591,0.05701646579294589,0.0011370058279328071,0.009501541616166856,0.012385790312839628,0.06047034097459119,0.001339908826641185,0.011268835760306512,0,0
1,0.0,tanh,0.01035893217778353,0.025882574678854797,0.0028271958302303972,0.31297929297346516,0.01212193022280634,0.02638846299176256,0.0034542655913640877,0.4573284149431519,1,0
2,0.0,tanh,0.0047907995699709455,0.08314969781541048,0.0009969200491341263,0.057402561862287774,0.006643214626164349,0.08641052584970188,0.0012219958411837286,0.07042816181720629,2,0
3,0.0,tanh,0.001278207477528245,0.07273972120361141,0.0003143094730039491,0.04237347283110911,0.0014607401390019398,0.08982655085191431,0.00040638403268784086,0.04910319547190816,3,0
4,0.0,tanh,0.0021321549273674305,0.012941034596404517,0.00016533556799462485,0.0028669158802919646,0.002459046116670265,0.014179253652450737,0.0002481975708545043,0.00394546643735682,4,0
5,0.0,tanh,0.002444649384438197,0.11328653866708485,0.0004598485240460866,0.14074260683591153,0.0031464175608494536,0.13951226425726457,0.0006156398376219516,0.16722976656883237,5,0
6,0.0,tanh,0.0012379963360079928,0.009498430110556063,0.00032645844210070556,0.017778644774753022,0.001619663907173144,0.010933460335229224,0.0003950162982218573,0.022383260855936855,6,0
7,0.0,tanh,0.003028430870530919,0.012007854957502858,0.0006968933488452324,0.02524440296555127,0.00429674607255449,0.017262837982904247,0.0008981142397000215,0.03245652433040985,7,0
8,0.0,tanh,0.0010942433727804861,0.0032908944457461604,5.4002010662032295e-05,0.05733212197235451,0.0012851903494840156,0.004799334796860356,8.350314160653629e-05,0.08225711550048809,8,0
9,0.0,tanh,0.0007129851531624269,0.04351077451481271,1.462624255624128e-05,0.16060025623424284,0.0008249779326902951,0.052646508726082,1.6641087039133332e-05,0.43792747460107884,9,0
10,0.0,tanh,0.009364808468245103,0.049486720577190314,0.0006356181136731317,0.0022069231728189835,0.012521384315633103,0.05181120658798834,0.0007968715843488397,0.0023979091646557237,0,1
11,0.0,tanh,0.005827996240657137,0.016535324463134615,0.002582100974029141,275717269.79755247,0.006797511708625376,0.016645848795651463,0.003398116029545872,1470404161.6098895,1,1
12,0.0,tanh,0.006012917694090765,0.19732898184199743,0.0005619449479388528,0.18695896101788936,0.008702043920771852,0.20764501241085198,0.0007538879918736602,0.23484328703072926,2,1
13,0.0,tanh,0.0023342329585045426,0.10812962427419359,0.0003287965227113172,0.10124809416160518,0.0027954992857597686,0.13025511630055425,0.0004358324314747049,0.14022555338060372,3,1
14,0.0,tanh,0.000900150674975532,0.02132782722766744,0.00034867853326772154,0.006412057828979902,0.0011471561819015978,0.02494729742766719,0.0004760129468967378,0.008738401014187623,4,1
15,0.0,tanh,0.0015158018785498906,0.1774954753903966,0.0001894748696157196,0.00286282600853155,0.0018614684872569217,0.21263635458290858,0.00021503479261706336,0.0036957688856838677,5,1
16,0.0,tanh,0.0011447591585388816,0.032159555374405846,0.0007895282367398603,0.0006012553413903002,0.0013512467906857187,0.035765388390288214,0.0009874924350791005,0.0007770603318347196,6,1
17,0.0,tanh,0.002622741291660328,0.00986875729898278,0.0005215134143939299,0.02344134316385827,0.003381167533762045,0.013603112752783359,0.0006001898562191028,0.02918728075509051,7,1
18,0.0,tanh,0.0015106725556581796,0.042265357944709425,3.3622799088801243e-05,inf,0.0017309948033482376,0.049302595423563016,5.098676422621827e-05,inf,8,1
19,0.0,tanh,0.0006745501651988499,0.03752148106506135,3.494502814797725e-05,0.03498173637596932,0.0008150274466126858,0.04565005099611025,4.0924573216267844e-05,0.043731375553613866,9,1
20,0.0,tanh,0.010193404623263956,0.07242725994086394,0.0005480469197225258,0.0209105692193505,0.014080278796578529,0.07660044280691909,0.0006495728862167651,0.02654806819376584,0,2
21,0.0,tanh,0.005615498451317395,0.026539388796695172,0.002592943992210032,0.17970596343384154,0.007081167663854436,0.02681934529739464,0.003316335514228661,0.251082308068029,1,2
