,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,leaky_ReLU,0.010042122663335033,0.11655102755214078,0.0010318827960732386,0.06326590055824907,0.011876951385255735,0.13314207175137022,0.0012745664657449888,0.08295062192404681,0,0
1,0.0,leaky_ReLU,0.006216992449104642,0.16958409496447865,0.023344021748582917,0.2690498704347779,0.008976610800355542,0.19292166295794652,0.028028552817236565,0.2960793512319951,1,0
2,0.0,leaky_ReLU,0.008491715343784722,0.10557124291034342,0.014256862339090747,0.08658607112891638,0.011984367249433596,0.13786139255181895,0.01643468745386367,0.11083276347985022,2,0
3,0.0,leaky_ReLU,0.004125647844189614,0.0853443899091613,0.004798977817692662,0.20364043226322479,0.005523431481661616,0.10321375691931582,0.0063359952773093895,0.24661036584683835,3,0
4,0.0,leaky_ReLU,0.004735515151966433,0.044407804306582414,0.003880173693587145,0.5061760370148811,0.006189028230239908,0.05146176189092832,0.004795985312447001,0.7268883222891521,4,0
5,0.0,leaky_ReLU,0.004147731752223531,0.111020520503103,0.002326784223853706,0.6467992468240314,0.005384210545899522,0.1316410747659364,0.0029791721106216854,0.9004949407068145,5,0
6,0.0,leaky_ReLU,0.007757019423388427,0.08979563740098633,0.004420397231203557,0.07186395441865376,0.010627752329730412,0.10607197322964222,0.005810038921991741,0.0847826780629687,6,0
7,0.0,leaky_ReLU,0.009732272386699938,0.136784304870824,0.019939201382955764,0.020180760335161328,0.012087506459342333,0.1555232762618076,0.022998413505016763,0.022716108655699008,7,0
8,0.0,leaky_ReLU,0.017537666811608423,0.09839984456101442,0.018647537499138056,0.06844837048564995,0.022716919604445114,0.1234566548318503,0.025561518005481572,0.07632076775695772,8,0
9,0.0,leaky_ReLU,0.004175054391638274,0.006598051580241107,0.0020711425223546814,0.006700900944498898,0.0049609721297399385,0.007354803178520952,0.0025224394177802228,0.007456508861745729,9,0
10,0.0,leaky_ReLU,0.010003903778610624,0.1058152161518453,0.0010376613568869658,0.0278471137856018,0.011715115343705318,0.12074420104004767,0.0013285063163719568,0.03920565052920169,0,1
11,0.0,leaky_ReLU,0.0068641922036104235,0.19270616592507903,0.005725727011446313,0.266435494980559,0.009812985760182549,0.21909459642546497,0.007149752305717625,0.30636030341343334,1,1
12,0.0,leaky_ReLU,0.008295759981560175,0.10891926408932244,0.014256862961539376,0.0865860603233917,0.011745502235216343,0.14214186441533075,0.016434687453859793,0.11083274862696671,2,1
13,0.0,leaky_ReLU,0.0031150955013155455,0.05696556580523829,0.004710837125413699,0.6926133188460466,0.004243550402035019,0.06637212419668426,0.00545097040414016,0.9782472652130962,3,1
14,0.0,leaky_ReLU,0.0047813217928154884,0.03276494134319205,0.004010278354278751,0.11516853516558413,0.006308116116488302,0.03665143273396951,0.004955955134966906,0.15386788158352965,4,1
15,0.0,leaky_ReLU,0.004585251273636426,0.13211080046333787,0.0019306649606861755,0.4719275985155322,0.006069188140356588,0.15728828891438912,0.00275625799475772,0.6871129809885016,5,1
16,0.0,leaky_ReLU,0.007492959871778752,0.08098492178620886,0.007631642248299551,0.06255868828418781,0.010221992934348828,0.09487366295236545,0.009281026089218403,0.07570738388561947,6,1
17,0.0,leaky_ReLU,0.00984075128143606,0.11961065653616351,0.021122968343967326,0.023832465589298694,0.011983801370798809,0.13633037202391102,0.024231056553958196,0.026782346371943575,7,1
18,0.0,leaky_ReLU,0.015998776990974763,0.05620969530667879,0.01959702935728915,0.0591432026638993,0.021443276068558424,0.07160291812164593,0.024743951637135327,0.07032195033125907,8,1
19,0.0,leaky_ReLU,0.0044292139935078415,0.024123884849486233,0.0018547944165494582,0.014221080041491046,0.00521554829907751,0.031537559054436726,0.0024750315602692437,0.017599630879166796,9,1
20,0.0,leaky_ReLU,0.01203828972858314,0.0739953907280806,0.0011382540048001145,0.006286192290260385,0.014744929034125547,0.08791865761956222,0.001456491919597771,0.010640846482956729,0,2
21,0.0,leaky_ReLU,0.007050761530368414,0.16374302856089695,0.023344021748582917,0.2690498704347779,0.010426545998168326,0.18732469317528516,0.028028552817236565,0.2960793512319951,1,2
