,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,leaky_ReLU,0.010826941901633347,0.11787303098952544,0.13697608971727152,0.4679932485960731,0.012698522914020982,0.1329144650483392,0.18384429158788881,0.472617252265195,0,0
1,0.0,leaky_ReLU,0.006434091232181094,0.16471388755396316,0.9591607663386407,0.6539303239255221,0.00940348760310922,0.17690761476634276,0.9596437090069586,0.6628012706938784,1,0
2,0.0,leaky_ReLU,0.007582451610782475,0.140876493199848,0.7988390524548987,0.8734413383703186,0.010592629172134008,0.17045536024861113,0.8177489571090396,0.8780250247056315,2,0
3,0.0,leaky_ReLU,0.0036882204808025175,0.17261671961179476,0.9446233677147656,0.5333947298424144,0.005360875930638065,0.2027708137004928,0.9480211895975218,0.540906755476555,3,0
4,0.0,leaky_ReLU,0.004480238700284036,0.1050941299908121,0.752476860354111,0.5867684326798488,0.005717836309917575,0.12848945006834753,0.7592964284593549,0.5906419553888304,4,0
5,0.0,leaky_ReLU,0.003649676729317201,0.04520964421201073,0.982398833558524,0.8339047257112939,0.004273548361059078,0.05126331875853704,0.9824514859334166,0.8383638275658162,5,0
6,0.0,leaky_ReLU,0.007583654460606897,0.11577529452951021,0.29358640139647135,0.49857671130091885,0.009620330877904135,0.13394971511806897,0.3245171441708565,0.5005622898106534,6,0
7,0.0,leaky_ReLU,0.010327534024810155,0.11892445770365595,0.14637853788509098,0.3110366523754338,0.012884716020325863,0.13376462167591202,0.19821813800120494,0.32241091877881806,7,0
8,0.0,leaky_ReLU,0.010517616290910196,0.0279308255141918,0.21548335598483245,0.37529731253850107,0.01706490330037526,0.04125202455980453,0.24357824300712547,0.3821667400977864,8,0
9,0.0,leaky_ReLU,0.005273787680007782,0.03863674236463984,0.8942232921612632,0.5575312654760646,0.006331501789959025,0.044914157024212704,0.9012689785711887,0.5602542412365402,9,0
10,0.0,leaky_ReLU,0.007691995009733449,0.06273413575960791,0.13697608971727152,0.4679932485960731,0.008789967209263169,0.07057797793750578,0.18384429158788881,0.472617252265195,0,1
11,0.0,leaky_ReLU,0.00663961731441756,0.19544084283909655,0.9591607663386407,0.6539303239255221,0.009691898928731665,0.21180098344080348,0.9596437090069586,0.6628012706938784,1,1
12,0.0,leaky_ReLU,0.0074406091130277,0.1650227431860593,0.7988390524548987,0.8734413383703186,0.010003668894704271,0.19710615934421996,0.8177489571090396,0.8780250247056315,2,1
13,0.0,leaky_ReLU,0.0030671192052167543,0.11093519941649073,0.9446233677147656,0.5333947298424144,0.004410447979666656,0.12602552279944768,0.9480211895975218,0.540906755476555,3,1
14,0.0,leaky_ReLU,0.005205769196270029,0.08439800115758245,0.752476860354111,0.5867684326798488,0.0068584280435214804,0.10362144242965281,0.7592964284593549,0.5906419553888304,4,1
15,0.0,leaky_ReLU,0.004618696277356758,0.08839239496479072,0.982398833558524,0.8339047257112939,0.005562949524507509,0.10387525176215094,0.9824514859334166,0.8383638275658162,5,1
16,0.0,leaky_ReLU,0.006626607585704638,0.012169047742647385,0.29358640139647135,0.49857671130091885,0.009317568662522783,0.012518469940857466,0.3245171441708565,0.5005622898106534,6,1
17,0.0,leaky_ReLU,0.011189112929994856,0.12001731239013413,0.14637853788509098,0.3110366523754338,0.013357275023549352,0.1341946059407838,0.19821813800120494,0.32241091877881806,7,1
18,0.0,leaky_ReLU,0.011259143070897705,0.031744291619399075,0.21548335598483245,0.37529731253850107,0.018086514498197648,0.047429533097006246,0.24357824300712547,0.3821667400977864,8,1
19,0.0,leaky_ReLU,0.005810668494085741,0.06455819658885119,0.8942232921612632,0.5575312654760646,0.006885748081578226,0.07674405739709324,0.9012689785711887,0.5602542412365402,9,1
20,0.0,leaky_ReLU,0.012199301613956806,0.0628112529839884,0.13697608971727152,0.4679932485960731,0.015037734181404012,0.07442772975060595,0.18384429158788881,0.472617252265195,0,2
21,0.0,leaky_ReLU,0.006512348455563273,0.15819564628861962,0.9591607663386407,0.6539303239255221,0.009482064710588364,0.16980477475498387,0.9596437090069586,0.6628012706938784,1,2
22,0.0,leaky_ReLU,0.007429989941218938,0.1604022881877282,0.7988390524548987,0.8734413383703186,0.010225908786827729,0.1923586309423361,0.8177489571090396,0.8780250247056315,2,2
23,0.0,leaky_ReLU,0.003508205768816541,0.1760883058240884,0.9446233677147656,0.5333947298424144,0.005118719814586842,0.2084788215603037,0.9480211895975218,0.540906755476555,3,2
24,0.0,leaky_ReLU,0.004528693212240516,0.11705674528967848,0.752476860354111,0.5867684326798488,0.005719514068714005,0.1432579583102762,0.7592964284593549,0.5906419553888304,4,2
25,0.0,leaky_ReLU,0.004003728249947222,0.023799163622585162,0.982398833558524,0.8339047257112939,0.004660310267300024,0.025205554867446477,0.9824514859334166,0.8383638275658162,5,2
26,0.0,leaky_ReLU,0.006503946716205338,0.007875595090658563,0.29358640139647135,0.49857671130091885,0.009302602683235598,0.00845765844736411,0.3245171441708565,0.5005622898106534,6,2
27,0.0,leaky_ReLU,0.011189016550300997,0.1249023504139229,0.14637853788509098,0.3110366523754338,0.01342715097334559,0.14007732106088677,0.19821813800120494,0.32241091877881806,7,2
28,0.0,leaky_ReLU,0.01219980551541073,0.01786226072141173,0.21548335598483245,0.37529731253850107,0.01879601416878118,0.02583205666651899,0.24357824300712547,0.3821667400977864,8,2
29,0.0,leaky_ReLU,0.004559029361791687,0.04682485189779099,0.8942232921612632,0.5575312654760646,0.005516414958914076,0.055561371951819254,0.9012689785711887,0.5602542412365402,9,2
30,0.02,leaky_ReLU,0.010123350892195454,0.09520841212471091,0.13697608971727152,0.4679932485960731,0.011855652825844793,0.10838004098856512,0.18384429158788881,0.472617252265195,0,0
31,0.02,leaky_ReLU,0.008462815324988519,0.20560056621676032,0.9591607663386407,0.6539303239255221,0.010780348142376554,0.2209266944234021,0.9596437090069586,0.6628012706938784,1,0
32,0.02,leaky_ReLU,0.007893911734675029,0.1490433845878531,0.7988390524548987,0.8734413383703186,0.010846928269980897,0.18031744252273493,0.8177489571090396,0.8780250247056315,2,0
33,0.02,leaky_ReLU,0.007759485494861592,0.2535277837548179,0.9446233677147656,0.5333947298424144,0.0091028969329894,0.3018846550412591,0.9480211895975218,0.540906755476555,3,0
34,0.02,leaky_ReLU,0.005371343359193909,0.16050857771324184,0.752476860354111,0.5867684326798488,0.006764175951804298,0.20156464967595292,0.7592964284593549,0.5906419553888304,4,0
