,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,leaky_ReLU,0.0015314188204550601,0.04083661472379619,0.0004955746031538626,0.021230309789215637,0.00193550570502002,0.04901189281964127,0.0006338025565637369,0.029017875558873453,0,0
1,0.0,leaky_ReLU,0.0022546026802726274,0.155396431445533,0.001845039887457206,1.389799566184403,0.0030578937002208478,0.16444176301195096,0.002423994204443632,2.6765179775703443,1,0
2,0.0,leaky_ReLU,0.0034674418267059116,0.03687172463043151,0.0026176262390947037,0.06870047886030156,0.005003366846926318,0.043093957157064974,0.004423756195477988,0.08060554501328458,2,0
3,0.0,leaky_ReLU,0.001849856750305196,0.05659781329865805,0.0006229727065345691,0.298641753275218,0.0028873521716805367,0.06042904745574615,0.0008602154939618273,0.3470846276937749,3,0
4,0.0,leaky_ReLU,0.0014712066725818653,0.23535334123505616,0.001347118614709777,inf,0.0020861605354036087,0.2792692019206165,0.0017798243445831176,inf,4,0
5,0.0,leaky_ReLU,0.0017180514442559182,0.15392594461268355,0.0006009934575606691,0.09098163777609555,0.0024490463625458274,0.1942530561027737,0.0007230684587708151,0.11180457691621812,5,0
6,0.0,leaky_ReLU,0.0022437724211763323,0.037129797966387074,0.0012193957783156642,3.7308257328381367,0.0033958813665959818,0.04179736591265647,0.0016982568323679326,6.42721626543669,6,0
7,0.0,leaky_ReLU,0.004256583106222427,0.04069847252587962,0.002819247247213717,0.023463096418844392,0.0058472445019747965,0.04374120723425453,0.0038703629464174865,0.030110516418900765,7,0
8,0.0,leaky_ReLU,0.004118271034869041,0.01795961041259919,0.005407490198124954,0.27828862579130387,0.00681054552083188,0.026146342178781774,0.008253720884351596,0.36099453255149266,8,0
9,0.0,leaky_ReLU,0.0012594721968320192,0.03427763183799944,0.0010399923085583586,0.05869434141130141,0.0020166880762390194,0.04442965104044104,0.0015138906493930063,0.06784340719955868,9,0
10,0.0,leaky_ReLU,0.0021669215724665833,0.04757979814875782,0.00046715480325498743,0.26886974590215934,0.002657593598727503,0.056609962879738934,0.000629425246224136,0.3376820025463433,0,1
11,0.0,leaky_ReLU,0.0024979032259468572,0.17889598861234593,0.0038903083549952314,0.14860505618670988,0.0034548245267102275,0.191188579814532,0.004854010408266604,0.17589896034727368,1,1
